Age,Height,Weight,Team,Year,City,Event,Medal
19.0,162.0,56.0,Argentina,1988,Seoul,Tennis Women's Singles,---
24.0,171.0,60.0,Switzerland,2000,Sydney,Tennis Women's Singles,---
23.0,175.0,65.0,Italy,2000,Sydney,Tennis Women's Singles,---
27.0,175.0,65.0,Italy,2004,Athina,Tennis Women's Singles,---
22.0,177.0,61.0,France,2016,Rio de Janeiro,Tennis Women's Singles,---
24.0,162.0,58.0,United States,1988,Seoul,Tennis Women's Singles,Bronze
28.0,162.0,58.0,United States,1992,Barcelona,Tennis Women's Singles,---
18.0,160.0,54.0,Mexico,1992,Barcelona,Tennis Women's Singles,---
22.0,160.0,54.0,Mexico,1996,Atlanta,Tennis Women's Singles,---
22.0,166.0,61.0,Australia,2016,Rio de Janeiro,Tennis Women's Singles,---
24.0,168.0,52.0,Czech Republic,2000,Sydney,Tennis Women's Singles,---
23.0,170.0,62.0,Yugoslavia,1988,Seoul,Tennis Women's Singles,---
24.0,190.0,85.0,Great Britain,1988,Seoul,Tennis Women's Singles,---
28.0,190.0,85.0,Great Britain,1992,Barcelona,Tennis Women's Singles,---
23.0,180.0,69.0,Germany,2012,London,Tennis Women's Singles,---
23.0,169.0,58.0,Argentina,1996,Atlanta,Tennis Women's Singles,---
19.0,180.0,65.0,Belarus,2008,Beijing,Tennis Women's Singles,---
19.0,175.0,59.0,West Germany,1988,Seoul,Tennis Women's Singles,Gold
23.0,175.0,59.0,Germany,1992,Barcelona,Tennis Women's Singles,Silver
21.0,176.0,68.0,Italy,1996,Atlanta,Tennis Women's Singles,---
25.0,176.0,68.0,Italy,2000,Sydney,Tennis Women's Singles,---
17.0,184.0,66.0,Poland,1996,Atlanta,Tennis Women's Singles,---
22.0,170.0,60.0,Slovakia,1996,Atlanta,Tennis Women's Singles,---
27.0,170.0,60.0,Slovakia,2000,Sydney,Tennis Women's Singles,---
21.0,171.0,57.0,France,1992,Barcelona,Tennis Women's Singles,---
30.0,171.0,57.0,France,2000,Sydney,Tennis Women's Singles,---
20.0,170.0,61.0,Romania,2012,London,Tennis Women's Singles,---
28.0,173.0,64.0,West Germany,1988,Seoul,Tennis Women's Singles,---
21.0,181.0,62.0,Slovakia,2004,Athina,Tennis Women's Singles,---
25.0,181.0,62.0,Slovakia,2008,Beijing,Tennis Women's Singles,---
29.0,181.0,62.0,Slovakia,2012,London,Tennis Women's Singles,---
22.0,167.0,60.0,Belgium,2004,Athina,Tennis Women's Singles,Gold
21.0,183.0,71.0,Slovenia,2012,London,Tennis Women's Singles,---
25.0,183.0,71.0,Slovenia,2016,Rio de Janeiro,Tennis Women's Singles,---
22.0,180.0,65.0,Mexico,1988,Seoul,Tennis Women's Singles,---
23.0,178.0,68.0,Canada,1988,Seoul,Tennis Women's Singles,---
21.0,163.0,57.0,Japan,2016,Rio de Janeiro,Tennis Women's Singles,---
15.0,170.0,59.0,Switzerland,1996,Atlanta,Tennis Women's Singles,---
24.0,167.0,57.0,Netherlands,2000,Sydney,Tennis Women's Singles,---
31.0,177.0,72.0,Czech Republic,2016,Rio de Janeiro,Tennis Women's Singles,---
25.0,165.0,60.0,Czech Republic,2000,Sydney,Tennis Women's Singles,---
26.0,170.0,57.0,Chinese Taipei,2012,London,Tennis Women's Singles,---
18.0,173.0,58.0,Germany,1992,Barcelona,Tennis Women's Singles,---
22.0,173.0,58.0,Germany,1996,Atlanta,Tennis Women's Singles,---
26.0,163.0,58.0,Canada,1992,Barcelona,Tennis Women's Singles,---
30.0,163.0,58.0,Canada,1996,Atlanta,Tennis Women's Singles,---
23.0,164.0,53.0,Japan,1988,Seoul,Tennis Women's Singles,---
24.0,184.0,69.0,Serbia,2012,London,Tennis Women's Singles,---
28.0,184.0,69.0,Serbia,2016,Rio de Janeiro,Tennis Women's Singles,---
17.0,167.0,66.0,Tunisia,2012,London,Tennis Women's Singles,---
21.0,167.0,66.0,Tunisia,2016,Rio de Janeiro,Tennis Women's Singles,---
19.0,177.0,59.0,Serbia and Montenegro,2004,Athina,Tennis Women's Singles,---
23.0,177.0,59.0,Serbia,2008,Beijing,Tennis Women's Singles,---
27.0,177.0,59.0,Serbia,2012,London,Tennis Women's Singles,---
25.0,177.0,64.0,Great Britain,1992,Barcelona,Tennis Women's Singles,---
24.0,154.0,54.0,Canada,2000,Sydney,Tennis Women's Singles,---
25.0,167.0,55.0,South Korea,2004,Athina,Tennis Women's Singles,---
24.0,179.0,65.0,Bosnia and Herzegovina,2004,Athina,Tennis Women's Singles,---
23.0,180.0,68.0,Germany,2000,Sydney,Tennis Women's Singles,---
