Age,Height,Weight,Team,Year,City,Event,Medal
25.0,190.0,83.0,Great Britain,2012,London,Tennis Men's Singles,Gold
29.0,190.0,83.0,Great Britain,2016,Rio de Janeiro,Tennis Men's Singles,Gold
24.0,180.0,79.0,Austria,1992,Barcelona,Tennis Men's Singles,---
22.0,185.0,80.0,Spain,2008,Beijing,Tennis Men's Singles,Gold
30.0,185.0,80.0,Spain,2016,Rio de Janeiro,Tennis Men's Singles,---
26.0,180.0,79.0,Argentina,2008,Beijing,Tennis Men's Singles,---
30.0,180.0,79.0,Argentina,2012,London,Tennis Men's Singles,---
18.0,188.0,81.0,Italy,1988,Seoul,Tennis Men's Singles,---
23.0,191.0,87.0,Canada,1996,Atlanta,Tennis Men's Singles,---
28.0,191.0,87.0,Canada,2000,Sydney,Tennis Men's Singles,---
19.0,177.0,88.0,Cote d'Ivoire,1988,Seoul,Tennis Men's Singles,---
28.0,190.0,83.0,Canada,2004,Athina,Tennis Men's Singles,---
32.0,190.0,83.0,Canada,2008,Beijing,Tennis Men's Singles,---
23.0,185.0,79.0,Finland,2004,Athina,Tennis Men's Singles,---
27.0,185.0,79.0,Finland,2008,Beijing,Tennis Men's Singles,---
31.0,185.0,79.0,Finland,2012,London,Tennis Men's Singles,---
18.0,178.0,74.0,Japan,2008,Beijing,Tennis Men's Singles,---
22.0,178.0,74.0,Japan,2012,London,Tennis Men's Singles,---
26.0,178.0,74.0,Japan,2016,Rio de Janeiro,Tennis Men's Singles,Bronze
24.0,189.0,90.0,Sweden,2000,Sydney,Tennis Men's Singles,---
20.0,192.0,90.0,Hungary,1992,Barcelona,Tennis Men's Singles,---
24.0,192.0,90.0,Hungary,1996,Atlanta,Tennis Men's Singles,---
21.0,190.0,90.0,Czech Republic,1996,Atlanta,Tennis Men's Singles,---
25.0,190.0,90.0,Czech Republic,2000,Sydney,Tennis Men's Singles,---
29.0,190.0,90.0,Czech Republic,2004,Athina,Tennis Men's Singles,---
30.0,182.0,75.0,Nigeria,1988,Seoul,Tennis Men's Singles,---
24.0,193.0,87.0,Uzbekistan,1996,Atlanta,Tennis Men's Singles,---
26.0,188.0,79.0,Greece,2004,Athina,Tennis Men's Singles,---
30.0,185.0,72.0,Russia,1996,Atlanta,Tennis Men's Singles,---
22.0,196.0,80.0,Brazil,1992,Barcelona,Tennis Men's Singles,---
23.0,183.0,79.0,South Africa,1996,Atlanta,Tennis Men's Singles,---
23.0,182.0,73.0,Mexico,1996,Atlanta,Tennis Men's Singles,---
19.0,185.0,75.0,Algeria,2004,Athina,Tennis Men's Singles,---
19.0,178.0,77.0,India,1992,Barcelona,Tennis Men's Singles,---
23.0,178.0,77.0,India,1996,Atlanta,Tennis Men's Singles,Bronze
27.0,178.0,77.0,India,2000,Sydney,Tennis Men's Singles,---
19.0,183.0,80.0,Cyprus,2004,Athina,Tennis Men's Singles,---
27.0,183.0,80.0,Cyprus,2012,London,Tennis Men's Singles,---
27.0,196.0,80.0,France,2016,Rio de Janeiro,Tennis Men's Singles,---
18.0,185.0,78.0,Romania,1992,Barcelona,Tennis Men's Singles,---
22.0,185.0,78.0,Romania,1996,Atlanta,Tennis Men's Singles,---
26.0,185.0,78.0,Romania,2000,Sydney,Tennis Men's Singles,---
30.0,185.0,78.0,Romania,2004,Athina,Tennis Men's Singles,---
33.0,188.0,85.0,United States,1912,Stockholm,Tennis Men's Singles,---
26.0,185.0,83.0,Argentina,2016,Rio de Janeiro,Tennis Men's Singles,---
25.0,188.0,86.0,Venezuela,1996,Atlanta,Tennis Men's Singles,---
25.0,193.0,70.0,Israel,1988,Seoul,Tennis Men's Singles,---
22.0,188.0,86.0,Romania,1996,Atlanta,Tennis Men's Singles,---
25.0,185.0,86.0,Italy,1996,Atlanta,Tennis Men's Singles,---
28.0,184.0,80.0,Germany,2012,London,Tennis Men's Singles,---
19.0,193.0,91.0,Australia,1996,Atlanta,Tennis Men's Singles,---
23.0,193.0,91.0,Australia,2000,Sydney,Tennis Men's Singles,---
27.0,193.0,91.0,Australia,2004,Athina,Tennis Men's Singles,---
19.0,187.0,80.0,Denmark,2000,Sydney,Tennis Men's Singles,---
23.0,177.0,66.0,Benin,2000,Sydney,Tennis Men's Singles,---
22.0,194.0,87.0,Canada,2012,London,Tennis Men's Singles,---
26.0,194.0,87.0,Canada,2016,Rio de Janeiro,Tennis Men's Singles,---
35.0,178.0,68.0,Italy,2000,Sydney,Tennis Men's Singles,---
23.0,183.0,77.0,Canada,1988,Seoul,Tennis Men's Singles,---
23.0,184.0,79.0,Germany,1996,Atlanta,Tennis Men's Singles,---
27.0,184.0,79.0,Germany,2000,Sydney,Tennis Men's Singles,---
28.0,182.0,74.0,Croatia,1992,Barcelona,Tennis Men's Singles,---
20.0,198.0,91.0,United States,2008,Beijing,Tennis Men's Singles,---
27.0,185.0,85.0,Australia,2000,Sydney,Tennis Men's Singles,---
28.0,188.0,80.0,Spain,2016,Rio de Janeiro,Tennis Men's Singles,---
21.0,196.0,90.0,Canada,2012,London,Tennis Men's Singles,---
26.0,180.0,77.0,France,1996,Atlanta,Tennis Men's Singles,---
30.0,180.0,77.0,United States,1996,Atlanta,Tennis Men's Singles,---
25.0,185.0,81.0,Puerto Rico,1992,Barcelona,Tennis Men's Singles,---
24.0,175.0,72.0,Chile,2000,Sydney,Tennis Men's Singles,---
22.0,182.0,75.0,Spain,2004,Athina,Tennis Men's Singles,---
26.0,182.0,75.0,Spain,2008,Beijing,Tennis Men's Singles,---
23.0,166.0,63.0,Belgium,2004,Athina,Tennis Men's Singles,---
27.0,166.0,63.0,Belgium,2008,Beijing,Tennis Men's Singles,---
